22:19:14.445010 config: drop-rate=0.00, max-delay=0s, seed=1510197554445010100
23:20:28.303483 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.303483 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.303984 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.303984 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.304485 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.304485 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.304987 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.304987 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.304987 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.305488 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.305488 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.305989 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.306491 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.306491 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.307494 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.307494 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.307995 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.307995 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.307995 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.308496 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.308496 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.308997 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
